Mnemonic,Long Label
GCR$%Q@EUN.Q.FGI,"EU: European Union, Real $ Government Consumption, Growth Rate, Quarter-on-Quarter, SAAR, Unit - Percent change on previous period, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 28 out of 28"
MBROAD$%@GCC5.Q.FGI,"Gulf Cooperation Council Countries Excluding Saudi Arabia, Growth Rate, Broad Money Supply, Period End, Year-on-Year Percent Change, US$, Unit - Percent change year ago, Data edge: 2017Q1, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 5 out of 5"
CR$NP@WEHEM.Q.FGBA1,"Western Hemisphere, Real Consumption Per Capita, US$, Unit - U.S. Dollar - 2015, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 2 out of 44"
X$@AMERS.Q.FGBA1,"Americas, Nominal NIA Exports of Goods & Non-Factor Services, US$, Billions - U.S. Dollar, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 2 out of 44"
M$%Q@LC.Q.FGI,"Latin America and Caribbean, Nominal NIA Imports in U.S. Dollars, Growth Rate, Quarter-on-Quarter, SAAR, Unit - Percent change on previous period, Data edge: 2018Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 12 out of 41"
RXINVEND@SEAS.Q.FGI,"South-East Asia, Inverse Exchange Rate, Period End, Unit - U.S. Dollar, Data edge: 2019Q3, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 6 out of 11"
GDPRE%@MENXI.Q.FGI,"Middle East and North Africa Excluding Israel, Real Euro GDP, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 13 out of 20"
RMSHORT@APXJC.Q.FGI,"Asia-Pacific Excluding Japan, China, Interest Rate: Short Term, Unit - Percentage, Data edge: 2018Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 15 out of 38"
PSHBPXG@MENOX.Q.FGI,"Middle East & North Africa Oil Exporters, BOP Goods Exports, % of GDP, Unit - Percentage, Data edge: NA, Data source: IHS Markit, Updated monthly: last update 18 November 2019 Countries in aggregate: 6 out of 15"
GCRE@WEHEM.Q.FGBA1,"Western Hemisphere, Real Government Consumption, euro, Billions - Euro - 2015, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 2 out of 44"
