Mnemonic,WPIINDO.Q.FMFT,WPI06.Q.FMFT,WPI10.Q.FMFT,WPI09.Q.FMFT,JEXCHMTPREAL.Q.FMFT,Q2,Q3,Q4
1997 Q1,1.43,1.44,1.31,1.67,1.21,0,0,0
1997 Q2,1.44,1.43,1.32,1.66,1.23,1,0,0
1997 Q3,1.45,1.44,1.32,1.68,1.24,0,1,0
1997 Q4,1.45,1.44,1.32,1.7,1.25,0,0,1
1998 Q1,1.45,1.44,1.3,1.72,1.28,0,0,0
1998 Q2,1.47,1.45,1.29,1.72,1.3,1,0,0
1998 Q3,1.48,1.44,1.27,1.72,1.33,0,1,0
1998 Q4,1.5,1.43,1.25,1.71,1.27,0,0,1
1999 Q1,1.54,1.42,1.23,1.71,1.29,0,0,0
1999 Q2,1.54,1.42,1.23,1.73,1.33,1,0,0
1999 Q3,1.55,1.45,1.25,1.75,1.32,0,1,0
1999 Q4,1.57,1.48,1.27,1.78,1.29,0,0,1
2000 Q1,1.58,1.49,1.29,1.8,1.31,0,0,0
2000 Q2,1.58,1.51,1.28,1.85,1.34,1,0,0
2000 Q3,1.6,1.52,1.28,1.85,1.36,0,1,0
2000 Q4,1.61,1.52,1.28,1.85,1.4,0,0,1
2001 Q1,1.63,1.55,1.27,1.85,1.39,0,0,0
2001 Q2,1.66,1.53,1.26,1.85,1.44,1,0,0
2001 Q3,1.67,1.5,1.25,1.84,1.43,0,1,0
2001 Q4,1.67,1.49,1.24,1.84,1.45,0,0,1
2002 Q1,1.66,1.47,1.24,1.85,1.49,0,0,0
2002 Q2,1.67,1.5,1.25,1.85,1.44,1,0,0
2002 Q3,1.68,1.54,1.27,1.86,1.38,0,1,0
2002 Q4,1.67,1.56,1.28,1.88,1.38,0,0,1
2003 Q1,1.66,1.61,1.28,1.89,1.31,0,0,0
2003 Q2,1.66,1.62,1.28,1.9,1.25,1,0,0
2003 Q3,1.67,1.61,1.29,1.9,1.25,0,1,0
2003 Q4,1.68,1.63,1.32,1.91,1.18,0,0,1
2004 Q1,1.68,1.67,1.4,1.92,1.15,0,0,0
2004 Q2,1.69,1.71,1.46,1.95,1.19,1,0,0
2004 Q3,1.71,1.77,1.53,1.97,1.16,0,1,0
2004 Q4,1.74,1.83,1.59,1.99,1.1,0,0,1
2005 Q1,1.78,1.87,1.61,2.01,1.09,0,0,0
2005 Q2,1.8,1.88,1.58,2.02,1.12,1,0,0
2005 Q3,1.83,1.91,1.58,2.02,1.14,0,1,0
2005 Q4,1.87,2.02,1.66,2.04,1.15,0,0,1
2006 Q1,1.91,2.04,1.72,2.06,1.14,0,0,0
2006 Q2,1.94,2.05,1.8,2.09,1.1,1,0,0
2006 Q3,1.96,2.08,1.86,2.11,1.08,0,1,0
2006 Q4,1.96,2.06,1.88,2.12,1.08,0,0,1
2007 Q1,1.99,2.08,1.9,2.14,1.08,0,0,0
2007 Q2,1.99,2.13,1.94,2.16,1.05,1,0,0
2007 Q3,1.99,2.15,1.93,2.17,1.02,0,1,0
2007 Q4,2,2.24,1.97,2.2,0.97,0,0,1
2008 Q1,2.02,2.33,2.05,2.23,0.95,0,0,0
2008 Q2,2.05,2.46,2.2,2.25,0.93,1,0,0
2008 Q3,2.1,2.61,2.26,2.29,0.96,0,1,0
2008 Q4,2.11,2.42,2.01,2.29,1.06,0,0,1
2009 Q1,2.11,2.28,1.86,2.27,1.09,0,0,0
2009 Q2,2.09,2.25,1.79,2.25,1.07,1,0,0
2009 Q3,2.08,2.29,1.86,2.24,1.03,0,1,0
2009 Q4,2.09,2.36,1.97,2.26,1.01,0,0,1
2010 Q1,2.1,2.44,2.04,2.3,1.04,0,0,0
2010 Q2,2.12,2.45,2.07,2.36,1.08,1,0,0
2010 Q3,2.13,2.43,2.05,2.39,1.05,0,1,0
2010 Q4,2.14,2.55,2.15,2.42,1.01,0,0,1
2011 Q1,2.16,2.67,2.24,2.44,0.99,0,0,0
2011 Q2,2.18,2.77,2.27,2.45,0.95,1,0,0
2011 Q3,2.2,2.8,2.28,2.47,0.94,0,1,0
2011 Q4,2.21,2.77,2.25,2.44,0.98,0,0,1
2012 Q1,2.23,2.78,2.25,2.44,0.99,0,0,0
2012 Q2,2.24,2.78,2.2,2.44,1,1,0,0
2012 Q3,2.25,2.73,2.16,2.43,1.01,0,1,0
2012 Q4,2.27,2.77,2.18,2.45,1,0,0,1
2013 Q1,2.28,2.81,2.16,2.47,1.03,0,0,0
2013 Q2,2.3,2.79,2.12,2.48,1.05,1,0,0
2013 Q3,2.3,2.78,2.12,2.49,1.05,0,1,0
2013 Q4,2.31,2.78,2.14,2.51,1.05,0,0,1
2014 Q1,2.33,2.81,2.15,2.5,1.07,0,0,0
2014 Q2,2.34,2.8,2.14,2.51,1.06,1,0,0
2014 Q3,2.35,2.83,2.16,2.51,1.09,0,1,0
2014 Q4,2.37,2.79,2.15,2.5,1.16,0,0,1
2015 Q1,2.38,2.66,2.08,2.5,1.27,0,0,0
2015 Q2,2.38,2.67,2.03,2.49,1.29,1,0,0
2015 Q3,2.39,2.67,1.98,2.48,1.33,0,1,0
2015 Q4,2.4,2.63,1.92,2.48,1.36,0,0,1
2016 Q1,2.41,2.61,1.89,2.47,1.37,0,0,0
2016 Q2,2.42,2.63,1.93,2.47,1.33,1,0,0
2016 Q3,2.43,2.65,1.96,2.48,1.35,0,1,0
2016 Q4,2.44,2.7,1.98,2.49,1.4,0,0,1
2017 Q1,2.46,2.77,2.05,2.52,1.41,0,0,0
2017 Q2,2.48,2.79,2.06,2.54,1.38,1,0,0
2017 Q3,2.48,2.8,2.09,2.56,1.31,0,1,0
2017 Q4,2.49,2.87,2.13,2.56,1.32,0,0,1
2018 Q1,2.52,2.92,2.17,2.57,1.28,0,0,0
2018 Q2,2.54,2.92,2.23,2.59,1.31,1,0,0
2018 Q3,2.55,2.98,2.25,2.62,1.33,0,1,0
2018 Q4,2.56,2.98,2.28,2.63,1.46,0,0,1
2019 Q1,2.56,2.98,2.27,2.64,1.45,0,0,0
2019 Q2,2.56,2.98,2.25,2.64,1.43,1,0,0
2019 Q3,2.56,2.99,2.22,2.64,1.43,0,1,0
2019 Q4,2.56,3,2.21,2.64,1.42,0,0,1
2020 Q1,2.57,3.01,2.21,2.65,1.41,0,0,0
2020 Q2,2.57,3.02,2.2,2.65,1.39,1,0,0
2020 Q3,2.57,3.04,2.19,2.65,1.38,0,1,0
2020 Q4,2.58,3.05,2.19,2.65,1.38,0,0,1
2021 Q1,2.59,3.08,2.18,2.66,1.38,0,0,0
2021 Q2,2.6,3.1,2.16,2.66,1.37,1,0,0
2021 Q3,2.61,3.12,2.16,2.67,1.37,0,1,0
2021 Q4,2.62,3.15,2.16,2.68,1.37,0,0,1
2022 Q1,2.63,3.17,2.17,2.68,1.37,0,0,0
2022 Q2,2.64,3.19,2.17,2.69,1.36,1,0,0
2022 Q3,2.66,3.21,2.18,2.7,1.35,0,1,0
2022 Q4,2.67,3.24,2.18,2.7,1.35,0,0,1
2023 Q1,2.68,3.26,2.19,2.71,1.34,0,0,0
2023 Q2,2.69,3.28,2.2,2.72,1.34,1,0,0
2023 Q3,2.7,3.31,2.21,2.73,1.33,0,1,0
2023 Q4,2.72,3.33,2.22,2.74,1.32,0,0,1
2024 Q1,2.73,3.35,2.23,2.75,1.31,0,0,0
2024 Q2,2.74,3.38,2.24,2.75,1.31,1,0,0
2024 Q3,2.76,3.41,2.25,2.76,1.3,0,1,0
2024 Q4,2.77,3.43,2.26,2.77,1.3,0,0,1
2025 Q1,2.78,3.45,2.26,2.78,1.29,0,0,0
2025 Q2,2.79,3.47,2.27,2.79,1.29,1,0,0
2025 Q3,2.8,3.49,2.29,2.8,1.28,0,1,0
2025 Q4,2.82,3.52,2.3,2.81,1.28,0,0,1
2026 Q1,2.83,3.54,2.3,2.82,1.28,0,0,0
2026 Q2,2.84,3.56,2.31,2.83,1.27,1,0,0
2026 Q3,2.85,3.58,2.32,2.84,1.27,0,1,0
2026 Q4,2.86,3.61,2.33,2.85,1.27,0,0,1
2027 Q1,2.87,3.63,2.33,2.86,1.27,0,0,0
2027 Q2,2.89,3.65,2.34,2.87,1.27,1,0,0
2027 Q3,2.9,3.67,2.34,2.88,1.27,0,1,0
2027 Q4,2.91,3.69,2.35,2.89,1.27,0,0,1
